id,reqid,req_type,batchid,oldbatchid,meter_number,meter_model,meter_manufacturer,manufacture_year,meter_type,meter_rating,v_rating,meter_classification,kct,supplier,meter_category,meter_type_id,ecmi_exported,deployed,addedby,supplierstoreid,supplierstoretype,currentstorelevel,storeowner,owner_type,audit_validated_by,audit_validated_date,billing_validated_by,billing_validated_date,rev_validated_by,rev_validated_date,status,deleted_at,created_at,updated_at
89563,0,0,368,368,45701959293,S34U8 MBUS,MOJEC,2021,THREE PHASE,100A,3X240/415V,,,CWG,1,2,0,0,272,7,1,3,18,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-23 16:48:59,2022-03-09 15:05:59
89564,0,0,368,368,45701959285,S34U8 MBUS,MOJEC,2021,THREE PHASE,100A,3X240/415V,,,CWG,1,2,0,0,272,7,1,3,18,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-23 16:48:59,2022-03-09 15:05:59
89565,0,0,368,368,45701989845,S34U8 MBUS,MOJEC,2021,THREE PHASE,100A,3X240/415V,,,CWG,1,2,0,0,272,7,1,3,18,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-23 16:48:59,2022-03-09 15:05:59
89566,0,0,368,368,45701970530,S34U8 MBUS,MOJEC,2021,THREE PHASE,100A,3X240/415V,,,CWG,1,2,0,0,272,7,1,3,18,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-23 16:48:59,2022-03-09 15:05:59
89567,0,0,368,368,45701959319,S34U8 MBUS,MOJEC,2021,THREE PHASE,100A,3X240/415V,,,CWG,1,2,0,0,272,7,1,3,18,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-23 16:48:59,2022-03-09 15:05:59
89568,0,0,368,368,45701989886,S34U8 MBUS,MOJEC,2021,THREE PHASE,100A,3X240/415V,,,CWG,1,2,0,0,272,7,1,3,18,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-23 16:49:00,2022-03-09 15:05:59
89569,0,0,368,368,45701989894,S34U8 MBUS,MOJEC,2021,THREE PHASE,100A,3X240/415V,,,CWG,1,2,0,0,272,7,1,3,18,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-23 16:49:00,2022-03-09 15:05:59
89570,0,0,368,368,45701970506,S34U8 MBUS,MOJEC,2021,THREE PHASE,100A,3X240/415V,,,CWG,1,2,0,0,272,7,1,3,18,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-23 16:49:00,2022-03-09 15:05:59
89571,0,0,368,368,45701954559,S34U8 MBUS,MOJEC,2021,THREE PHASE,100A,3X240/415V,,,CWG,1,2,0,0,272,7,1,3,18,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-23 16:49:01,2022-03-09 15:05:59
89572,0,0,368,368,45701954591,S34U8 MBUS,MOJEC,2021,THREE PHASE,100A,3X240/415V,,,CWG,1,2,0,0,272,7,1,3,18,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-23 16:49:01,2022-03-09 15:05:59
89573,0,0,368,368,45701954583,S34U8 MBUS,MOJEC,2021,THREE PHASE,100A,3X240/415V,,,CWG,1,2,0,0,272,7,1,3,18,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-23 16:49:01,2022-03-09 15:05:59
89574,0,0,368,368,45701960895,S34U8 MBUS,MOJEC,2021,THREE PHASE,100A,3X240/415V,,,CWG,1,2,0,0,272,7,1,3,18,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-23 16:49:01,2022-03-09 15:05:59
89575,0,0,368,368,45701954567,S34U8 MBUS,MOJEC,2021,THREE PHASE,100A,3X240/415V,,,CWG,1,2,0,0,272,7,1,3,18,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-23 16:49:02,2022-03-09 15:05:59
89576,0,0,368,368,45701949526,S34U8 MBUS,MOJEC,2021,THREE PHASE,100A,3X240/415V,,,CWG,1,2,0,0,272,7,1,3,18,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-23 16:49:02,2022-03-09 15:05:59
89577,0,0,368,368,45701949542,S34U8 MBUS,MOJEC,2021,THREE PHASE,100A,3X240/415V,,,CWG,1,2,0,0,272,7,1,3,18,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-23 16:49:02,2022-03-09 15:05:59
89578,0,0,368,368,45701960887,S34U8 MBUS,MOJEC,2021,THREE PHASE,100A,3X240/415V,,,CWG,1,2,0,0,272,7,1,3,18,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-23 16:49:02,2022-03-09 15:05:59
89579,0,0,368,368,45701983897,S34U8 MBUS,MOJEC,2021,THREE PHASE,100A,3X240/415V,,,CWG,1,2,0,0,272,7,1,3,18,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-23 16:49:02,2022-03-09 15:05:59
89580,0,0,368,368,45701983830,S34U8 MBUS,MOJEC,2021,THREE PHASE,100A,3X240/415V,,,CWG,1,2,0,0,272,7,1,3,18,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-23 16:49:03,2022-03-09 15:05:59
89581,0,0,368,368,45701968872,S34U8 MBUS,MOJEC,2021,THREE PHASE,100A,3X240/415V,,,CWG,1,2,0,0,272,7,1,3,18,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-23 16:49:03,2022-03-09 15:05:59
89582,0,0,368,368,45701968930,S34U8 MBUS,MOJEC,2021,THREE PHASE,100A,3X240/415V,,,CWG,1,2,0,0,272,7,1,3,18,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-23 16:49:03,2022-03-09 15:05:59
89583,0,0,368,368,45701968898,S34U8 MBUS,MOJEC,2021,THREE PHASE,100A,3X240/415V,,,CWG,1,2,0,0,272,7,1,3,18,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-23 16:49:04,2022-03-09 15:05:59
89584,0,0,368,368,45701974011,S34U8 MBUS,MOJEC,2021,THREE PHASE,100A,3X240/415V,,,CWG,1,2,0,0,272,7,1,3,18,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-23 16:49:04,2022-03-09 15:05:59
90410,0,0,369,369,45701970472,S34U8MBUS,MOJEC INTERNATIONAL LTD,2021,THREE PHASE,100A,3x240/415V,,,CWG,1,2,0,0,1052,7,1,3,17,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-24 11:12:15,2022-03-09 15:05:59
90412,0,0,369,369,45701959301,S34U8MBUS,MOJEC INTERNATIONAL LTD,2021,THREE PHASE,100A,3x240/415V,,,CWG,1,2,0,0,1052,7,1,3,17,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-24 11:12:15,2022-03-09 15:05:59
90413,0,0,369,369,45701983863,S34U8MBUS,MOJEC INTERNATIONAL LTD,2021,THREE PHASE,100A,3x240/415V,,,CWG,1,2,0,0,1052,7,1,3,17,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-24 11:12:16,2022-03-09 15:05:59
90416,0,0,369,369,45701970522,S34U8MBUS,MOJEC INTERNATIONAL LTD,2021,THREE PHASE,100A,3x240/415V,,,CWG,1,2,0,0,1052,7,1,3,17,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-24 11:12:16,2022-03-09 15:05:59
90418,0,0,369,369,45701970498,S34U8MBUS,MOJEC INTERNATIONAL LTD,2021,THREE PHASE,100A,3x240/415V,,,CWG,1,2,0,0,1052,7,1,3,17,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-24 11:12:16,2022-03-09 15:05:59
90420,0,0,369,369,45701983855,S34U8MBUS,MOJEC INTERNATIONAL LTD,2021,THREE PHASE,100A,3x240/415V,,,CWG,1,2,0,0,1052,7,1,3,17,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-24 11:12:17,2022-03-09 15:05:59
90421,0,0,369,369,45701951522,S34U8MBUS,MOJEC INTERNATIONAL LTD,2021,THREE PHASE,100A,3x240/415V,,,CWG,1,2,0,0,1052,7,1,3,17,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-24 11:12:17,2022-03-09 15:05:59
90423,0,0,369,369,45701951548,S34U8MBUS,MOJEC INTERNATIONAL LTD,2021,THREE PHASE,100A,3x240/415V,,,CWG,1,2,0,0,1052,7,1,3,17,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-24 11:12:17,2022-03-09 15:05:59
90425,0,0,369,369,45701951563,S34U8MBUS,MOJEC INTERNATIONAL LTD,2021,THREE PHASE,100A,3x240/415V,,,CWG,1,2,0,0,1052,7,1,3,17,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-24 11:12:18,2022-03-09 15:05:59
90427,0,0,369,369,45701951555,S34U8MBUS,MOJEC INTERNATIONAL LTD,2021,THREE PHASE,100A,3x240/415V,,,CWG,1,2,0,0,1052,7,1,3,17,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-24 11:12:18,2022-03-09 15:05:59
90430,0,0,369,369,45701930948,S34U8MBUS,MOJEC INTERNATIONAL LTD,2021,THREE PHASE,100A,3x240/415V,,,CWG,1,2,0,0,1052,7,1,3,17,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-24 11:12:18,2022-03-09 15:05:59
